ID;Population;Clone;ID_clone;date;Origin;Temperature;CPF;Total;Survived
7;u5;u5.1;u5.1b;23/03/2020;Urban;20 °C;Control;5;5
8;u5;u5.1;u5.1b;23/03/2020;Urban;24 °C;Control;5;5
289;u5;u5.1;u5.1a;01/04/2020;Urban;20 °C;Control;5;5
290;u5;u5.1;u5.1a;01/04/2020;Urban;24 °C;Control;5;5
23;u5;u5.1;u5.1a;23/03/2020;Urban;20 °C;CPF;5;1
24;u5;u5.1;u5.1a;23/03/2020;Urban;24 °C;CPF;5;0
71;u5;u5.1;u5.1b;24/03/2020;Urban;20 °C;CPF;5;5
72;u5;u5.1;u5.1b;24/03/2020;Urban;24 °C;CPF;5;1
217;u5;u5.2;u5.2b;29/03/2020;Urban;20 °C;Control;5;5
218;u5;u5.2;u5.2b;29/03/2020;Urban;24 °C;Control;5;4
257;u5;u5.2;u5.2a;30/03/2020;Urban;20 °C;Control;5;5
258;u5;u5.2;u5.2a;30/03/2020;Urban;24 °C;Control;5;4
27;u5;u5.2;u5.2a;23/03/2020;Urban;20 °C;CPF;5;1
28;u5;u5.2;u5.2a;23/03/2020;Urban;24 °C;CPF;5;2
149;u5;u5.2;u5.2b;26/03/2020;Urban;20 °C;CPF;5;4
150;u5;u5.2;u5.2b;26/03/2020;Urban;24 °C;CPF;5;1
87;u5;u5.3;u5.3a;25/03/2020;Urban;20 °C;Control;5;5
88;u5;u5.3;u5.3a;25/03/2020;Urban;24 °C;Control;5;5
333;u5;u5.3;u5.3b;05/04/2020;Urban;20 °C;Control;5;5
334;u5;u5.3;u5.3b;05/04/2020;Urban;24 °C;Control;5;5
183;u5;u5.3;u5.3b;27/03/2020;Urban;20 °C;CPF;5;0
184;u5;u5.3;u5.3b;27/03/2020;Urban;24 °C;CPF;5;1
269;u5;u5.3;u5.3a;30/03/2020;Urban;20 °C;CPF;5;2
270;u5;u5.3;u5.3a;30/03/2020;Urban;24 °C;CPF;5;3
299;u5;u5.4;u5.4b;02/04/2020;Urban;20 °C;Control;5;4
300;u5;u5.4;u5.4b;02/04/2020;Urban;24 °C;Control;5;5
313;u5;u5.4;u5.4a;03/04/2020;Urban;20 °C;Control;5;5
314;u5;u5.4;u5.4a;03/04/2020;Urban;24 °C;Control;5;5
31;u5;u5.4;u5.4b;23/03/2020;Urban;20 °C;CPF;5;1
32;u5;u5.4;u5.4b;23/03/2020;Urban;24 °C;CPF;5;0
157;u5;u5.4;u5.4a;26/03/2020;Urban;20 °C;CPF;5;0
158;u5;u5.4;u5.4a;26/03/2020;Urban;24 °C;CPF;5;1
57;u5;u5.5;u5.5b;24/03/2020;Urban;20 °C;Control;5;5
58;u5;u5.5;u5.5b;24/03/2020;Urban;24 °C;Control;5;5
359;u5;u5.5;u5.5a;06/04/2020;Urban;20 °C;Control;5;5
360;u5;u5.5;u5.5a;06/04/2020;Urban;24 °C;Control;5;5
121;u5;u5.5;u5.5b;25/03/2020;Urban;20 °C;CPF;5;0
122;u5;u5.5;u5.5b;25/03/2020;Urban;24 °C;CPF;5;1
159;u5;u5.5;u5.5a;26/03/2020;Urban;20 °C;CPF;5;2
160;u5;u5.5;u5.5a;26/03/2020;Urban;24 °C;CPF;5;2
